feature_name|feature_class|state_name|map_name|prim_lat_dec|prim_long_dec
Groundhog Rock|Pillar|California|Sardine Peak|39.5107397|-120.1838139
Grouse Mountain|Summit|California|Tungsten Hills|37.3062302|-118.5893943
Grouse Mountain|Summit|California|Buckeye Ridge|38.162026|-119.4898759
Grouse Mountain|Summit|California|Hermit Butte|41.3277281|-120.8496334
Grouse Ridge|Ridge|California|English Mountain|39.3861002|-120.6124705
Guide Peak|Summit|California|Wentworth Springs|39.0378123|-120.3130244
Hacker Mountain|Summit|California|Trimmer|36.915084|-119.2945559
Hammils Mountain|Summit|California|New Melones Dam|37.8756704|-120.5575802
Hanging Valley Ridge|Ridge|California|Buckeye Ridge|38.2348852|-119.459772
Harding Point|Summit|California|Sierraville|39.6093241|-120.3331179
Harris Hill|Summit|California|Harris Hill|36.5893812|-117.4341553
Hayden Hill|Summit|California|Said Valley|40.9981416|-120.8702272
Haystack Mountain|Summit|California|Haystack Mountain|37.3850587|-120.3280341
Haystack Peak|Summit|California|Tiltill Mountain|38.1058046|-119.6846469
Headley Peak|Summit|California|White Mountain Peak|37.6878721|-118.2865536
Heavey Mountain|Summit|California|Sheepshead|40.7874715|-120.764221
Helester Point|Summit|California|Westville|39.213706|-120.6932974
Henry Peak|Summit|California|Spicer Meadow Reservoir|38.4864797|-119.8800183
High Mountain|Summit|California|Calaveritas|38.1694766|-120.5102534
Highland Peak|Summit|California|Ebbetts Pass|38.543624|-119.7555481
Hiram Peak|Summit|California|Dardanelles Cone|38.477876|-119.8034158
Hoffman Mountain|Summit|California|Rough Spur|36.988063|-118.9204321
Hog Hill|Summit|California|Copperopolis|37.921462|-120.7296616
Hog Mountain|Summit|California|Trimmer|36.8857769|-119.313295
Hog Mountain|Summit|California|Standard|37.8834819|-120.354305
Hogback Mountain|Ridge|California|San Andreas|38.1416039|-120.6912114
Hogback Peak|Summit|California|Slide Bluffs|36.8765682|-118.7115822
Mount Hogue|Summit|California|White Mountain Peak|37.7321473|-118.3045466
Homestead Ridge|Ridge|California|Copperopolis|37.9942245|-120.663328
Horizon Ridge|Ridge|California|Half Dome|37.6447955|-119.5670371
Horse Lake Mountain|Summit|California|Tunnison Mountain|40.5690823|-120.5100049
Horsecamp Mountain|Summit|California|Horsecamp Mountain|37.3288272|-119.8451482
Horsehead Mountain|Summit|California|Hermit Butte|41.3179452|-120.8566627
Hot Springs Peak|Summit|California|Bull Flat|40.3750437|-120.1214798
Hotchkiss Hill|Summit|California|Colfax|39.0062475|-120.9779227
Howell Hill|Summit|California|Colfax|39.0671523|-120.9719815
Hulbert Mountain|Summit|California|Millerton Lake West|37.0554825|-119.6707727
Humbug Ridge|Ridge|California|Westville|39.1807474|-120.6577008
Hunewill Hills|Ridge|California|Twin Lakes|38.1586054|-119.2697532
Hunter Mountain|Summit|California|Jackass Canyon|36.5498721|-117.5327992
Hunters Ridge|Ridge|California|Hermit Butte|41.2715356|-120.8171813
Mount Hutchings|Summit|California|The Sphinx|36.833244|-118.6007383
Ice Cave Ridge|Ridge|California|Spalding Tract|40.6838359|-120.8325896
Iceberg Peak|Summit|California|Dardanelles Cone|38.4503677|-119.8226461
Independence Point|Ridge|California|Slate Mountain|38.7830701|-120.6257175
Indian Mountain|Summit|California|Silva Flat Reservoir|40.8929899|-120.9804669
Indian Peak|Summit|California|Stumpfield Mountain|37.392714|-119.8122842
Indian Peak|Summit|California|White Mountain Peak|37.6913817|-118.3132414
Ink Rocks|Pillar|California|Buckeye Ridge|38.1926956|-119.4771104
Iowa Hill|Summit|California|Slate Mountain|38.7703361|-120.6905362
Iron Mountain|Summit|California|Raymond|37.1857742|-119.9610905
Iron Mountain|Summit|California|Little Shuteye Peak|37.4813741|-119.4894893
Iron Mountain|Summit|California|Copperopolis|37.8801417|-120.681539
Iron Mountain|Summit|California|Leek Spring Hill|38.7036403|-120.3559079
Italian Point|Summit|California|Calaveritas|38.1402513|-120.6064968
Jackass Rock|Summit|California|Piyau Dome|37.4328579|-119.3017004
Jacks Peak|Summit|California|Rockbound Valley|38.8903078|-120.1539776
Jackson Butte|Summit|California|Mokelumne Hill|38.3399087|-120.7213092
Mount Jackson|Summit|California|Mount Jackson|38.3251233|-119.2668101
Mount Jepson|Summit|California|Split Mountain|37.0888496|-118.4952691
Jerrett Peak|Summit|California|Wentworth Springs|39.0311065|-120.3314633
Jesse Morrow Mountain|Summit|California|Wahtoke|36.7359182|-119.407782
Joaquin Peak|Summit|California|San Andreas|38.1416325|-120.6911798
Jobs Peak|Summit|California|Woodfords|38.8578734|-119.8613833
John Bull Peak|Summit|California|Jackson|38.2568139|-120.8241966
Johnson Hill|Summit|California|Spring Garden|39.9474368|-120.8583793
Jorgensen Point|Summit|California|Tucker Mountain|36.7033992|-119.1401438
Junction Ridge|Ridge|California|Wren Peak|36.8389838|-118.7948844
Juniper Ridge|Ridge|California|Juniper Ridge|40.8933401|-120.3593547
Mount Jura|Summit|California|Taylorsville|40.0715239|-120.7984889
KT-22|Summit|California|Tahoe City|39.1829236|-120.2415521
Kendrick Peak|Summit|California|Tiltill Mountain|38.1246605|-119.6389215
Kennedy Mountain|Summit|California|Slide Bluffs|36.8791156|-118.6681862
Kettle Dome|Pillar|California|Tehipite Dome|36.947997|-118.7859381
Kettle Peak|Summit|California|Matterhorn Peak|38.1229446|-119.4285903
Kettle Ridge|Ridge|California|Mount Goddard|37.0325026|-118.7432032
Kettle Rock|Summit|California|Kettle Rock|40.1408037|-120.7257702
Keynot Peak|Summit|California|New York Butte|36.7075305|-117.962338
Keys Mountain|Summit|California|Humphreys Station|36.9506959|-119.4844671
Keystone Mountain|Summit|California|Sierra City|39.5395761|-120.6727731
Kid Mountain|Summit|California|Split Mountain|37.1018392|-118.4283272
Kirkwood Ridge|Ridge|California|Jackson|38.3010441|-120.7710449
Knob Hill|Summit|California|Ben Hur|37.3536114|-119.9710523
Lacy Hill|Summit|California|Ben Hur|37.3475786|-119.9464371
Ladybug Peak|Summit|California|Boca|39.4856373|-120.0453344
Last Chance Mountain|Summit|California|Last Chance Mountain|37.2802723|-117.6999023
Laughlin Ridge|Ridge|California|La Grange|37.7040634|-120.3856505
Leek Spring Hill|Summit|California|Leek Spring Hill|38.6292485|-120.277081
Leviathan Peak|Summit|California|Topaz Lake|38.6837377|-119.6119749
Mount Lewis|Summit|California|Twain Harte|38.0354728|-120.1621606
Lightner Peak|Summit|California|New Melones Dam|37.9451063|-120.5879681
Little Butte|Summit|California|Sly Park|38.6653621|-120.5519827
Little Chief|Summit|California|Tahoe City|39.2451457|-120.2023837
Little Fredonyer|Summit|California|Fredonyer Peak|40.6891399|-120.5312386
Little Hat Mountain|Summit|California|Little Hat Mountain|41.0675884|-120.1033002
Little Shuteye Peak|Summit|California|Little Shuteye Peak|37.3945399|-119.4705345
Little Table Mountain|Summit|California|Little Table Mountain|37.008833|-119.7668025
Logtown Ridge|Ridge|California|Placerville|38.6435787|-120.8478529
Lone Rock|Pillar|California|Kettle Rock|40.2454497|-120.7099503
Lone Spring Mountain|Summit|California|Stony Ridge|40.1333088|-120.419264
Long Hill|Summit|California|Ambrose Valley|41.1395089|-120.8362484
Lookout Mountain|Summit|California|Mariposa|37.407367|-119.9412424
Lookout Mountain|Summit|California|Truckee|39.2622351|-120.1459283
Lost Cannon Peak|Summit|California|Lost Cannon Peak|38.405623|-119.5488329
Lower Signal Butte|Summit|California|Spalding Tract|40.7082868|-120.7797703
Lower Taylor|Summit|California|Spring Garden|39.9820933|-120.8033143
Macomb Ridge|Ridge|California|Piute Mountain|38.074266|-119.6020761
Mahogany Mountain|Summit|California|Little Hat Mountain|41.1103823|-120.0432301
Mahogany Ridge|Ridge|California|Fales Hot Springs|38.3228162|-119.3941178
Manzanita Mountain|Summit|California|Hermit Butte|41.2780586|-120.8013413
Manzanita Ridge|Ridge|California|Hermit Butte|41.2780518|-120.8013929
Marble Mountain|Summit|California|Twain Harte|38.0252191|-120.1286795
Masonic Mountain|Summit|California|Bridgeport|38.3435232|-119.1282993
McConnell Peak|Summit|California|Rockbound Valley|38.946444|-120.2420326
McDonald Peak|Summit|California|McDonald Peak|40.9409846|-120.4127126
McKenzie Ridge|Ridge|California|Miramonte|36.7350076|-119.0109298
McKinstry Peak|Summit|California|Wentworth Springs|39.0521563|-120.3466574
McNulty Ridge|Ridge|California|La Grange|37.6843492|-120.3844463
Meadow Lake Hill|Summit|California|Webber Peak|39.4150427|-120.4817969
Meyers Peak|Summit|California|Llanada|36.5484951|-120.9016884
Michie Peak|Summit|California|Tiltill Mountain|38.1237587|-119.6560957
Middle Butte|Summit|California|Sly Park|38.6708504|-120.5553793
Middle Mountain|Summit|California|Rockbound Valley|38.9565576|-120.1814067
Midway Mountain|Summit|California|Mount Brewer|36.6433251|-118.48371
Milestone Mountain|Summit|California|Mount Brewer|36.6344742|-118.4845322
Millerton Ridge|Ridge|California|Millerton Lake West|37.0520551|-119.6770972
Minarets|Summit|California|Mount Ritter|37.6603962|-119.1740398
Mitchell Hill|Summit|California|Madeline|41.0495353|-120.4292721
Moccasin Peak|Summit|California|Moccasin|37.8049298|-120.3281718
Mockingbird Ridge|Ridge|California|Catheys Valley|37.4633517|-120.0515479
Monocline Ridge|Ridge|California|Ciervo Mountain|36.4713695|-120.5165356
Monument Peak|Summit|California|South Lake Tahoe|38.9228302|-119.8976229
Moody Ridge|Ridge|California|Dutch Flat|39.1917869|-120.8037054
Moore Hill|Summit|California|Mariposa|37.3907689|-119.9873803
Moraine Ridge|Ridge|California|Sphinx Lakes|36.7074462|-118.5578731
Mosquito Ridge|Ridge|California|Duncan Peak|39.1367613|-120.5030431
Mountain Top|Summit|California|New Melones Dam|37.9618643|-120.5740774
Mullen Ridge|Ridge|California|Ben Hur|37.308212|-119.8941881
Negro Jack Hill|Summit|California|Washington|39.2646115|-120.7757364
New York Butte|Summit|California|New York Butte|36.6477945|-117.9325056
New York Hill|Summit|California|Bridgeport|38.357412|-119.1254141
Nonada Hill|Summit|California|Chounet Ranch|36.6997028|-120.7179855
North Dome|Pillar|California|The Sphinx|36.8068835|-118.5959328
North Guard|Summit|California|Mount Brewer|36.7165267|-118.4900379
Obelisk|Pillar|California|Tehipite Dome|36.9082766|-118.8551065
Olson Mountain|Summit|California|Madeline|41.0058895|-120.4347643
Opal Hill|Summit|California|Valley Springs SW|38.093216|-120.8912933
Mount Ophir|Summit|California|San Andreas|38.2497324|-120.7243741
Ortigalita Peak|Summit|California|Ortigalita Peak|36.7943888|-120.9232071
Osborn Hill|Summit|California|Tamarack|38.474906|-120.0193396
Owens Mountain|Summit|California|Friant|36.9299277|-119.641539
Owl Mountain|Summit|California|Trimmer|36.8813181|-119.2613279
Page Mountain|Summit|California|Sonora|37.8895522|-120.3796694
Painted Rock|Pillar|California|Tehipite Dome|36.9129974|-118.7770484
Painted Rock|Summit|California|Tahoe City|39.2136691|-120.1801419
Panoche Mountain|Summit|California|Mercey Hot Springs|36.725553|-120.7645055
Paper Cabin Ridge|Ridge|California|Tuolumne|37.9117394|-120.1701543
Pattee Rocks|Pillar|California|Shadequarter Mountain|36.5618918|-118.947881
Peavine Point|Ridge|California|Tunnel Hill|38.9310649|-120.6369622
Peel Ridge|Ridge|California|Genesee Valley|40.0251783|-120.7481255
Peep Sight Peak|Summit|California|Dardanelles Cone|38.4971266|-119.8517925
Pennsylvania Point|Summit|California|Tunnel Hill|38.9985568|-120.7023876
Peñon Blanco Peak|Summit|California|Penon Blanco Peak|37.7321472|-120.2611802
Phipps Peak|Summit|California|Rockbound Valley|38.954391|-120.1496818
Pilot Peak|Summit|California|Ascension Mountain|37.7626655|-119.9359493
Pincushion Mountain|Summit|California|Millerton Lake West|37.0314531|-119.6445964
Pincushion Peak|Summit|California|Sharktooth Peak|37.4722715|-119.1085813
Pine Hill|Summit|California|Shingle Springs|38.7192681|-120.9903989
Pine Peak|Summit|California|San Andreas|38.2485743|-120.7123776
Pinecrest Peak|Summit|California|Pinecrest|38.2246324|-119.927391
Piney Ridge|Ridge|California|Penon Blanco Peak|37.678283|-120.3148564
Pleasant Point|Summit|California|Washington|39.3539791|-120.8703149
Mount Pluto|Summit|California|Tahoe City|39.2415182|-120.1399473
Portuguese Ridge|Ridge|California|Canby|41.3784165|-120.7754973
Potato Peak|Summit|California|Bodie|38.2345845|-119.086822
Pulpit Rock|Pillar|California|Sonora|37.9590916|-120.4363067
Quartz Mountain|Summit|California|Indian Gulch|37.4757368|-120.2219747
Quartz Mountain|Summit|California|Sing Peak|37.5185443|-119.4479061
Quartz Mountain|Summit|California|Sonora|37.9233118|-120.4202262
Quartz Point|Ridge|California|Onion Valley|39.8384901|-120.8814711
Rabbit Hill|Summit|California|Raymond|37.1364332|-119.9312798
Randolph Hill|Summit|California|Sattley|39.5741972|-120.3771357
Rattlesnake Hill|Summit|California|Stanislaus|38.178071|-120.3596266
Rattlesnake Peak|Summit|California|Kettle Rock|40.1722569|-120.7434201
Red Mountain|Summit|California|Auckland|36.512375|-119.0984851
Red Mountain|Summit|California|Piedra|36.8628081|-119.3996875
Red Mountain|Summit|California|Humphreys Station|36.960692|-119.4150973
Red Mountain|Summit|California|Ben Hur|37.3600053|-119.8853649
Red Mountain|Summit|California|Toms Place|37.522705|-118.734836
Red Mountain|Summit|California|Wentworth Springs|39.0065285|-120.3570609
Red Peak|Summit|California|Disaster Peak|38.3816651|-119.7429614
