name,latitude,longitude,elevation_ft,list,section,class,emblem,mountaineers,mileage_rt,gain_ft,loss_ft,trailhead,quad,elev_estimated,coord_source,benchmark,benchmark_rating
Maggies Peaks (Tahoe),38.931452,-120.113698,8699,non-SPS,23.7,2,False,False,,,,,Bay,False,GNIS,False,
Red Peak @,,,9311,non-SPS,23.71,2-3,False,False,,,,,Valley,False,,False,
Silver Peak (Crystal Range) @,,,8937,non-SPS,23.72,3,False,False,,,,,Valley,False,,False,
McConnell Peak @,38.946444,-120.242033,9095,non-SPS,23.73,3,False,False,,,,,Valley,False,GNIS,False,
Tells Peak @,38.959835,-120.254409,8855,non-SPS,23.74,1,False,False,,,,,Lake,False,GNIS,False,
Middle Mountain,,,8330,non-SPS,23.75,2,False,False,,,,,Bay,False,,False,
Phipps Peak @,38.954391,-120.149682,9180,non-SPS,23.76,1s2,False,False,,,,,Valley,False,GNIS,False,
Jakes Pea7,,,9128,non-SPS,23.77,1s5,False,False,,,,,Bay,False,,False,
Rubicon Peak @,38.98848,-120.133444,9138,non-SPS,23.78,2-3,False,False,,,,,Valley,False,GNIS,False,
Lost Corner Mountain,39.01333,-120.20413,8245,non-SPS,23.79,1,False,False,,,,,Homewood,False,GNIS,False,
Sourdough Hill,39.025702,-120.219753,7976,non-SPS,23.8,1,False,False,,,,,Homewood,False,GNIS,False,
Ellis Peak @,39.068618,-120.198087,8727,non-SPS,23.81,1,False,False,,,,,Homewood,False,GNIS,False,
Barker Peak,39.079479,-120.238919,8153,non-SPS,24.1,2,False,False,,,,,Homewood,False,GNIS,False,
Twin Peaks (Tahoe) @,,,8872,non-SPS,24.11,1sr3,False,False,,,,,City,False,,False,
Stanford Rock Highpoint,,,8326,non-SPS,24.12,1,False,False,,,,,City,False,,False,
Mount Mildred @,39.145812,-120.330207,8376,non-SPS,24.13,2,False,False,,,,,Chief,False,GNIS,False,
Needle Peak @,,,8871,non-SPS,24.14,2,False,False,,,,,Chief,False,,False,
Lyon Peak @,,,8901,non-SPS,24.15,2,False,False,,,,,Chief,False,,False,
Silver Peak (Squaw Valley),,,8424,non-SPS,24.16,2,False,False,,,,,City,False,,False,
Anderson Peak @,39.259034,-120.297174,8683,non-SPS,24.17,1,False,False,,,,,Norden,False,GNIS,False,
Mount Lincoln,39.287761,-120.328459,8369,non-SPS,24.18,1,False,False,,,,,Norden,False,GNIS,False,
Mount Judah,39.298528,-120.315572,8243,non-SPS,24.19,1,False,False,,,,,Norden,False,GNIS,False,
Donner Peak,39.308739,-120.312475,8019,non-SPS,24.2,1,False,False,,,,,Norden,False,GNIS,False,
Snow Mountain @,39.241055,-120.463673,7999,non-SPS,24.21,2,False,False,,,,,Norden,False,GNIS,False,
Devil’s Peak @,,,7704,non-SPS,24.22,2,False,False,,,,,Springs,False,,False,
Andesite Peak,39.351027,-120.3666,8219,non-SPS,24.23,1,False,False,,,,,Norden,False,GNIS,False,
Basin Peak,39.382287,-120.364122,9017,non-SPS,24.24,2,False,False,,,,,Lake,False,GNIS,False,
Martis Peak,39.291386,-120.032938,8742,non-SPS,24.25,1,False,False,,,,,Peak,False,GNIS,False,
Mount Baldy (Tahoe),39.27843,-120.000114,9262,non-SPS,24.26,1,False,False,,,,,(Nev),False,GNIS,False,
Riﬂe Peak,,,9459,non-SPS,24.27,1-2,False,False,,,,,(Nev),False,,False,
Rose Knob,39.290003,-119.981498,9600,non-SPS,24.28,1,False,False,,,,,(Nev),False,GNIS,False,
Rose Knob Peak,39.293503,-119.957795,9699,non-SPS,24.29,2,False,False,,,,,(Nev),False,GNIS,False,
Relay Peak,39.31531,-119.946859,10335,non-SPS,24.3,1,False,False,,,,,(Nev),False,GNIS,False,
Mount Houghton,39.334069,-119.939366,10490,non-SPS,24.31,2,False,False,,,,,(Nev),False,GNIS,False,
Church Peak,39.352058,-119.923306,10601,non-SPS,24.32,1,False,False,,,,,(Nev),False,GNIS,False,
Chocolate Peak (Tahoe),,,9407,non-SPS,24.33,1,False,False,,,,,(Nev),False,,False,
Snowﬂower Mountain,,,10240,non-SPS,24.34,2,False,False,,,,,(Nev),False,,False,
Signal Peak @,,,7845,non-SPS,24.35,1,False,False,,,,,Grove,False,,False,
Old Man Mountain @,39.37027,-120.522248,7789,non-SPS,24.36,2,False,False,,,,,Grove,False,GNIS,False,
Black Buttes @,,,7999,non-SPS,24.37,2s3,False,False,,,,,Mountain,False,,False,
Haskell Peak @,39.662329,-120.552618,8098,non-SPS,24.38,1,False,False,,,,,Clio,False,GNIS,False,
Mount Fillmore @,39.730184,-120.852843,7717,non-SPS,24.39,2,False,False,,,,,Fillmore,False,GNIS,False,
Eureka Peak,,,7447,non-SPS,24.4,1,False,False,,,,,Lake,False,,False,
